go,gene
GO:0005515,EfaB_MINUS_1001.g109
GO:0005515,EfaB_MINUS_1001.g110
GO:0003774,EfaB_MINUS_1001.g110
GO:0016459,EfaB_MINUS_1001.g110
GO:0005524,EfaB_MINUS_1001.g110
GO:0005789,EfaB_MINUS_1001.g111
GO:0006506,EfaB_MINUS_1001.g111
GO:0016758,EfaB_MINUS_1001.g111
GO:0016021,EfaB_MINUS_1001.g111
GO:0005515,EfaB_MINUS_1001.g113
GO:0008152,EfaB_MINUS_1001.g116
GO:0016746,EfaB_MINUS_1001.g116
GO:0004149,EfaB_MINUS_1001.g116
GO:0006099,EfaB_MINUS_1001.g116
GO:0045252,EfaB_MINUS_1001.g116
GO:0006810,EfaB_MINUS_10331.g917
GO:0006888,EfaB_MINUS_10331.g917
GO:0005801,EfaB_MINUS_10331.g917
GO:0005525,EfaB_MINUS_10358.g919
GO:0005737,EfaB_MINUS_10358.g920
GO:0042026,EfaB_MINUS_10358.g920
GO:0044267,EfaB_MINUS_10358.g920
GO:0005524,EfaB_MINUS_10358.g920
GO:0006468,EfaB_MINUS_10358.g921
GO:0005524,EfaB_MINUS_10358.g921
GO:0004672,EfaB_MINUS_10358.g921
GO:0016772,EfaB_MINUS_10358.g921
GO:0005524,EfaB_MINUS_10358.g921
GO:0004674,EfaB_MINUS_10358.g921
GO:0006468,EfaB_MINUS_10358.g921
GO:0004672,EfaB_MINUS_10358.g921
GO:0006468,EfaB_MINUS_10358.g921
GO:0005524,EfaB_MINUS_10358.g921
GO:0004476,EfaB_MINUS_1048.g121
GO:0008270,EfaB_MINUS_1048.g121
GO:0005975,EfaB_MINUS_1048.g121
GO:0004476,EfaB_MINUS_1048.g121
GO:0030170,EfaB_MINUS_1048.g122
GO:0003824,EfaB_MINUS_1048.g122
GO:0008152,EfaB_MINUS_1048.g122
GO:0000166,EfaB_MINUS_1048.g126
GO:0009055,EfaB_MINUS_1048.g128
GO:0051536,EfaB_MINUS_1048.g128
GO:0051537,EfaB_MINUS_1048.g128
GO:0022900,EfaB_MINUS_1048.g128
GO:0009055,EfaB_MINUS_1048.g128
GO:0051537,EfaB_MINUS_1048.g128
GO:0005515,EfaB_MINUS_1048.g129
GO:0005488,EfaB_MINUS_1048.g131
GO:0046872,EfaB_MINUS_1048.g131
GO:0005525,EfaB_MINUS_1048.g132
GO:0005622,EfaB_MINUS_1048.g132
GO:0007264,EfaB_MINUS_1048.g132
GO:0005525,EfaB_MINUS_1048.g132
GO:0007264,EfaB_MINUS_1048.g132
GO:0005525,EfaB_MINUS_1048.g132
GO:0015031,EfaB_MINUS_1048.g132
GO:0007264,EfaB_MINUS_1048.g132
GO:0005086,EfaB_MINUS_1048.g133
GO:0032012,EfaB_MINUS_1048.g133
GO:0005622,EfaB_MINUS_1048.g133
GO:0032313,EfaB_MINUS_1048.g133
GO:0005097,EfaB_MINUS_1048.g133
GO:0005622,EfaB_MINUS_1048.g133
GO:0008270,EfaB_MINUS_1068.g135
GO:0006508,EfaB_MINUS_1068.g135
GO:0004181,EfaB_MINUS_1068.g135
GO:0006629,EfaB_MINUS_1068.g136
GO:0005488,EfaB_MINUS_1068.g138
GO:0003824,EfaB_MINUS_1068.g139
GO:0016787,EfaB_MINUS_1068.g139
GO:0008270,EfaB_MINUS_1068.g139
GO:0008270,EfaB_MINUS_1068.g139
GO:0016787,EfaB_MINUS_1068.g139
GO:0004126,EfaB_MINUS_1068.g139
GO:0008270,EfaB_MINUS_1068.g139
GO:0004197,EfaB_MINUS_1068.g141
GO:0006508,EfaB_MINUS_1068.g141
GO:0007049,EfaB_MINUS_1068.g142
GO:0016538,EfaB_MINUS_1068.g142
GO:0003676,EfaB_MINUS_1068.g144
GO:0008270,EfaB_MINUS_1068.g144
GO:0016788,EfaB_MINUS_1068.g148
GO:0003676,EfaB_MINUS_1068.g148
GO:0005515,EfaB_MINUS_1068.g156
GO:0005515,EfaB_MINUS_1068.g157
GO:0003735,EfaB_MINUS_1068.g159
GO:0005622,EfaB_MINUS_1068.g159
GO:0006414,EfaB_MINUS_1068.g159
GO:0005840,EfaB_MINUS_1068.g159
GO:0005488,EfaB_MINUS_1068.g160
GO:0005622,EfaB_MINUS_1068.g160
GO:0006412,EfaB_MINUS_1068.g160
GO:0005840,EfaB_MINUS_1068.g160
GO:0003735,EfaB_MINUS_1068.g160
GO:0016881,EfaB_MINUS_1068.g161
GO:0006914,EfaB_MINUS_1068.g162
GO:0005515,EfaB_MINUS_1068.g163
GO:0008152,EfaB_MINUS_106.g1
GO:0016491,EfaB_MINUS_106.g1
GO:0000166,EfaB_MINUS_106.g1
GO:0004609,EfaB_MINUS_1072.g165
GO:0008654,EfaB_MINUS_1072.g165
GO:0005488,EfaB_MINUS_10824.g923
GO:0005525,EfaB_MINUS_10824.g924
GO:0007264,EfaB_MINUS_10824.g924
GO:0007264,EfaB_MINUS_10824.g924
GO:0005622,EfaB_MINUS_10824.g924
GO:0005525,EfaB_MINUS_10824.g924
GO:0007264,EfaB_MINUS_10824.g924
GO:0015031,EfaB_MINUS_10824.g924
GO:0005525,EfaB_MINUS_10824.g924
GO:0006184,EfaB_MINUS_10824.g924
GO:0006913,EfaB_MINUS_10824.g924
GO:0003924,EfaB_MINUS_10824.g924
GO:0006886,EfaB_MINUS_10824.g924
GO:0007165,EfaB_MINUS_10824.g924
GO:0005525,EfaB_MINUS_10824.g924
GO:0005515,EfaB_MINUS_10824.g924
GO:0005525,EfaB_MINUS_10824.g924
GO:0005525,EfaB_MINUS_10824.g924
GO:0006184,EfaB_MINUS_10824.g924
GO:0016020,EfaB_MINUS_10824.g924
GO:0003924,EfaB_MINUS_10824.g924
GO:0007165,EfaB_MINUS_10824.g924
GO:0003824,EfaB_MINUS_10843.g929
GO:0008152,EfaB_MINUS_10843.g929
GO:0008152,EfaB_MINUS_10843.g929
GO:0003824,EfaB_MINUS_10843.g929
GO:0006886,EfaB_MINUS_10843.g930
GO:0006813,EfaB_MINUS_10843.g937
GO:0016020,EfaB_MINUS_10843.g937
GO:0015269,EfaB_MINUS_10843.g937
GO:0016740,EfaB_MINUS_10843.g938
GO:0003723,EfaB_MINUS_10843.g940
GO:0004540,EfaB_MINUS_10843.g940
GO:0005515,EfaB_MINUS_10843.g941
GO:0006629,EfaB_MINUS_10843.g942
GO:0004806,EfaB_MINUS_10843.g942
GO:0003700,EfaB_MINUS_10843.g943
GO:0006355,EfaB_MINUS_10843.g943
GO:0003677,EfaB_MINUS_10843.g944
GO:0005524,EfaB_MINUS_10843.g944
GO:0006260,EfaB_MINUS_10843.g944
GO:0046872,EfaB_MINUS_10843.g947
GO:0004462,EfaB_MINUS_10843.g947
GO:0004462,EfaB_MINUS_10843.g947
GO:0046872,EfaB_MINUS_10843.g947
GO:0003824,EfaB_MINUS_10843.g948
GO:0007165,EfaB_MINUS_10843.g948
GO:0004114,EfaB_MINUS_10843.g948
GO:0008081,EfaB_MINUS_10843.g948
GO:0032259,EfaB_MINUS_1101.g166
GO:0003676,EfaB_MINUS_1101.g166
GO:0008168,EfaB_MINUS_1101.g166
GO:0005737,EfaB_MINUS_1101.g169
GO:0016876,EfaB_MINUS_1101.g169
GO:0005524,EfaB_MINUS_1101.g169
GO:0043039,EfaB_MINUS_1101.g169
GO:0004813,EfaB_MINUS_1101.g169
GO:0000166,EfaB_MINUS_1101.g169
GO:0005524,EfaB_MINUS_1101.g169
GO:0006419,EfaB_MINUS_1101.g169
GO:0005737,EfaB_MINUS_1101.g169
GO:0005737,EfaB_MINUS_1101.g169
GO:0000166,EfaB_MINUS_1101.g169
GO:0004813,EfaB_MINUS_1101.g169
GO:0005737,EfaB_MINUS_1101.g169
GO:0006419,EfaB_MINUS_1101.g169
GO:0005524,EfaB_MINUS_1101.g169
GO:0004813,EfaB_MINUS_1101.g169
GO:0000166,EfaB_MINUS_1101.g169
GO:0003676,EfaB_MINUS_1101.g169
GO:0005524,EfaB_MINUS_1101.g169
GO:0004813,EfaB_MINUS_1101.g169
GO:0006419,EfaB_MINUS_1101.g169
GO:0005737,EfaB_MINUS_1101.g169
GO:0000166,EfaB_MINUS_1101.g169
GO:0003824,EfaB_MINUS_1101.g170
GO:0051536,EfaB_MINUS_1101.g170
GO:0051536,EfaB_MINUS_1101.g170
GO:0003824,EfaB_MINUS_1101.g170
GO:0006511,EfaB_MINUS_1101.g171
GO:0004221,EfaB_MINUS_1101.g171
GO:0004221,EfaB_MINUS_1101.g171
GO:0006511,EfaB_MINUS_1101.g171
GO:0005634,EfaB_MINUS_11030.g953
GO:0005737,EfaB_MINUS_11030.g953
GO:0042254,EfaB_MINUS_11030.g954
GO:0031120,EfaB_MINUS_11030.g954
GO:0030515,EfaB_MINUS_11030.g954
GO:0005840,EfaB_MINUS_11030.g955
GO:0005622,EfaB_MINUS_11030.g955
GO:0006412,EfaB_MINUS_11030.g955
GO:0003735,EfaB_MINUS_11030.g955
GO:0003676,EfaB_MINUS_11030.g956
GO:0008270,EfaB_MINUS_11030.g956
GO:0005515,EfaB_MINUS_11030.g956
GO:0055114,EfaB_MINUS_11030.g957
GO:0006260,EfaB_MINUS_11030.g957
GO:0005971,EfaB_MINUS_11030.g957
GO:0004748,EfaB_MINUS_11030.g957
GO:0055114,EfaB_MINUS_11030.g957
GO:0005971,EfaB_MINUS_11030.g957
GO:0055114,EfaB_MINUS_11030.g957
GO:0005524,EfaB_MINUS_11030.g957
GO:0006260,EfaB_MINUS_11030.g957
GO:0004748,EfaB_MINUS_11030.g957
GO:0006260,EfaB_MINUS_11030.g957
GO:0055114,EfaB_MINUS_11030.g957
GO:0004748,EfaB_MINUS_11030.g957
GO:0005971,EfaB_MINUS_11030.g957
GO:0005488,EfaB_MINUS_11124.g960
GO:0005524,EfaB_MINUS_11124.g962
GO:0007018,EfaB_MINUS_11124.g962
GO:0003777,EfaB_MINUS_11124.g962
GO:0003700,EfaB_MINUS_11124.g965
GO:0006355,EfaB_MINUS_11124.g965
GO:0005515,EfaB_MINUS_11124.g966
GO:0003993,EfaB_MINUS_11124.g968
GO:0006468,EfaB_MINUS_11124.g969
GO:0005524,EfaB_MINUS_11124.g969
GO:0004672,EfaB_MINUS_11124.g969
GO:0004672,EfaB_MINUS_11124.g969
GO:0006468,EfaB_MINUS_11124.g969
GO:0005524,EfaB_MINUS_11124.g969
GO:0004674,EfaB_MINUS_11124.g969
GO:0006468,EfaB_MINUS_11124.g969
GO:0016772,EfaB_MINUS_11124.g969
GO:0003676,EfaB_MINUS_11124.g970
GO:0005634,EfaB_MINUS_11124.g970
GO:0042578,EfaB_MINUS_11124.g971
GO:0007049,EfaB_MINUS_11124.g972
GO:0016538,EfaB_MINUS_11124.g972
GO:0003887,EfaB_MINUS_11124.g972
GO:0003684,EfaB_MINUS_11124.g972
GO:0006281,EfaB_MINUS_11124.g972
GO:0006281,EfaB_MINUS_11124.g972
GO:0003887,EfaB_MINUS_11124.g972
GO:0003684,EfaB_MINUS_11124.g972
GO:0004221,EfaB_MINUS_11135.g978
GO:0006511,EfaB_MINUS_11135.g978
GO:0006511,EfaB_MINUS_11135.g978
