Infection_No,Day_pi,Oocysts_injected,Mouse_strain,Mouse_group,Mouse_replicate,Weight_grams,Normalized_weight,Oocysts_feces
1,0,100,NMRI,A,1,32.87,100,NA
1,0,100,NMRI,A,2,33.37,100,NA
1,0,100,NMRI,A,3,36.6,100,NA
1,0,100,NMRI,A,4,32.63,100,NA
2,0,1500,NMRI,A,1,35.88,100,NA
2,0,1500,NMRI,A,2,35.56,100,NA
2,0,1500,NMRI,A,3,41.45,100,NA
2,0,1500,NMRI,A,4,38.7,100,NA
1,0,100,NMRI,B,1,42.23,100,NA
1,0,100,NMRI,B,2,44.22,100,NA
1,0,100,NMRI,B,1,36.71,100,NA
1,0,100,NMRI,B,2,39.3,100,NA
1,6,100,NMRI,A,1,34.55,105.1110435047,0
1,6,100,NMRI,A,2,34.6,103.68594546,0
1,6,100,NMRI,A,3,37.24,101.7486338798,0
1,6,100,NMRI,A,4,34.49,105.7002758198,0
2,6,1500,NMRI,A,1,,,
2,6,1500,NMRI,A,2,,,
2,6,1500,NMRI,A,3,,,
2,6,1500,NMRI,A,4,,,
1,6,100,NMRI,B,1,41.51,98.2950509117,0
1,6,100,NMRI,B,2,43.62,103.2914989344,0
1,6,100,NMRI,B,1,38.73,105.5025878507,0
1,6,100,NMRI,B,2,38.17,97.1246819338,0
1,7,100,NMRI,A,1,34.9,106.1758442349,24667
1,7,100,NMRI,A,2,34.8,104.2852861852,2667
1,7,100,NMRI,A,3,36.3,99.1803278689,40000
1,7,100,NMRI,A,4,35.09,107.5390744713,4667
2,7,1500,NMRI,A,1,36.96,103.0100334448,6667
2,7,1500,NMRI,A,2,37.42,105.2305961755,8889
2,7,1500,NMRI,A,3,38.82,93.6550060314,0
2,7,1500,NMRI,A,4,39.45,101.9379844961,444
1,7,100,NMRI,B,1,40.84,96.7085010656,1395556
1,7,100,NMRI,B,2,42.13,95.2736318408,12444
1,7,100,NMRI,B,1,37.41,101.906837374,475556
