"cluster","gene","grouping"
"1","api1000","EfaB_MINUS_15899.g1462","conserved"
"2","api1000","EfaB_PLUS_7752.g805","conserved"
"3","api1001","EfaB_MINUS_17150.g1541","conserved"
"4","api1001","EfaB_PLUS_800.g86","conserved"
"5","api1002","EfaB_MINUS_40565.g2662","ApicomplexaC"
"6","api1003","EfaB_MINUS_43533.g2766","ApicomplexaC"
"7","api1004","EfaB_PLUS_800.g98","conserved"
"8","api1005","EfaB_PLUS_1068.g145","conserved"
"9","api1006","EfaB_PLUS_3881.g393","conserved"
"10","api1007","EfaB_PLUS_7048.g679","ApicomplexaC"
"11","api1008","EfaB_PLUS_7048.g707","conserved"
"12","api1009","EfaB_PLUS_14667.g1201","conserved"
"13","api101","EfaB_MINUS_40565.g2665","conserved"
"14","api101","EfaB_MINUS_14881.g1237","conserved"
"15","api101","EfaB_MINUS_40565.g2664","conserved"
"16","api1010","EfaB_PLUS_20412.g1720","conserved"
"17","api1011","EfaB_PLUS_22450.g1861","conserved"
"18","api1019","EfaB_MINUS_21549.g1861","conserved"
"19","api1020","EfaB_MINUS_15576.g1342","conserved"
"20","api1021","EfaB_PLUS_23210.g1936","conserved"
"21","api1022","EfaB_MINUS_56725.g2979","conserved"
"22","api1023","EfaB_PLUS_2387.g295","conserved"
"23","api1024","EfaB_MINUS_26415.g2237","conserved"
"24","api1025","EfaB_PLUS_5788.g529","conserved"
"25","api1026","EfaB_PLUS_34010.g2460","conserved"
"26","api10264","EfaB_MINUS_11882.g1042","Efalciformis"
"27","api10264","EfaB_MINUS_11882.g1041","Efalciformis"
"28","api10265","EfaB_MINUS_4792.g437","Efalciformis"
"29","api10265","EfaB_MINUS_12065.g1064","Efalciformis"
"30","api10269","EfaB_MINUS_13853.g1224","Efalciformis"
"31","api10269","EfaB_MINUS_23210.g2005","Efalciformis"
"32","api1027","EfaB_MINUS_1101.g170","conserved"
"33","api10274","EfaB_PLUS_26831.g2180","Efalciformis"
"34","api10274","EfaB_MINUS_26831.g2265","Efalciformis"
"35","api1028","EfaB_PLUS_52892.g2742","conserved"
