"IPR","gene","description"
"IPR000001","EfaB_MINUS_49504.g2828","Kringle"
"IPR000001","EfaB_MINUS_23210.g2033","Kringle"
"IPR000007","EfaB_PLUS_11882.g1016","Tubby, C-terminal"
"IPR000008","EfaB_PLUS_1711.g193","C2 calcium-dependent membrane targeting"
"IPR000008","EfaB_MINUS_17096.g1526","C2 calcium-dependent membrane targeting"
"IPR000008","EfaB_MINUS_40565.g2662","C2 calcium-dependent membrane targeting"
"IPR000008","EfaB_PLUS_25458.g2108","C2 calcium-dependent membrane targeting"
"IPR000008","EfaB_MINUS_17907.g1630","C2 calcium-dependent membrane targeting"
"IPR000008","EfaB_PLUS_22450.g1861","C2 calcium-dependent membrane targeting"
"IPR000011","EfaB_MINUS_16742.g1478","Ubiquitin/SUMO-activating enzyme E1"
"IPR000022","EfaB_PLUS_24117.g1980","Carboxyl transferase"
"IPR000023","EfaB_MINUS_25019.g2112","Phosphofructokinase domain"
"IPR000023","EfaB_PLUS_15724.g1357","Phosphofructokinase domain"
"IPR000043","EfaB_PLUS_1068.g132","Adenosylhomocysteinase"
"IPR000048","EfaB_MINUS_34204.g2565","IQ motif, EF-hand binding site"
"IPR000048","EfaB_MINUS_228.g11","IQ motif, EF-hand binding site"
"IPR000048","EfaB_PLUS_276.g39","IQ motif, EF-hand binding site"
"IPR000048","EfaB_PLUS_20968.g1762","IQ motif, EF-hand binding site"
"IPR000048","EfaB_MINUS_25177.g2136","IQ motif, EF-hand binding site"
"IPR000048","EfaB_PLUS_15349.g1264","IQ motif, EF-hand binding site"
"IPR000048","EfaB_PLUS_11414.g986","IQ motif, EF-hand binding site"
"IPR000048","EfaB_MINUS_56725.g2914","IQ motif, EF-hand binding site"
"IPR000048","EfaB_MINUS_3469.g360","IQ motif, EF-hand binding site"
"IPR000048","EfaB_MINUS_1001.g110","IQ motif, EF-hand binding site"
"IPR000048","EfaB_PLUS_17096.g1462","IQ motif, EF-hand binding site"
"IPR000048","EfaB_MINUS_25019.g2113","IQ motif, EF-hand binding site"
"IPR000048","EfaB_MINUS_3222.g323","IQ motif, EF-hand binding site"
"IPR000054","EfaB_MINUS_56725.g2981","Ribosomal protein L31e"
"IPR000056","EfaB_MINUS_43533.g2746","Ribulose-phosphate 3-epimerase-like"
"IPR000058","EfaB_MINUS_13227.g1183","Zinc finger, AN1-type"
"IPR000058","EfaB_MINUS_16835.g1504","Zinc finger, AN1-type"
"IPR000058","EfaB_PLUS_13222.g1101","Zinc finger, AN1-type"
"IPR000061","EfaB_MINUS_800.g98","SWAP/Surp"
"IPR000061","EfaB_PLUS_17907.g1557","SWAP/Surp"
"IPR000061","EfaB_PLUS_40565.g2566","SWAP/Surp"
"IPR000073","EfaB_MINUS_1974.g210","Alpha/beta hydrolase fold-1"
"IPR000077","EfaB_MINUS_31498.g2388","Ribosomal protein L39e"
"IPR000086","EfaB_PLUS_43533.g2647","NUDIX hydrolase domain"
"IPR000086","EfaB_PLUS_20412.g1735","NUDIX hydrolase domain"
"IPR000086","EfaB_MINUS_15648.g1377","NUDIX hydrolase domain"
"IPR000089","EfaB_PLUS_24117.g1980","Biotin/lipoyl attachment"
"IPR000089","EfaB_PLUS_33184.g2397","Biotin/lipoyl attachment"
"IPR000089","EfaB_PLUS_31498.g2325","Biotin/lipoyl attachment"
"IPR000089","EfaB_PLUS_15899.g1412","Biotin/lipoyl attachment"
"IPR000089","EfaB_MINUS_1001.g116","Biotin/lipoyl attachment"
"IPR000089","EfaB_MINUS_25398.g2165","Biotin/lipoyl attachment"
"IPR000092","EfaB_MINUS_800.g99","Polyprenyl synthetase"
"IPR000092","EfaB_PLUS_12302.g1057","Polyprenyl synthetase"
"IPR000104","EfaB_MINUS_22450.g1930","Antifreeze protein, type I"
"IPR000106","EfaB_PLUS_8664.g828","Protein-tyrosine phosphatase/arsenate reductase"
"IPR000119","EfaB_MINUS_1974.g226","Histone-like bacterial DNA-binding protein"
"IPR000127","EfaB_MINUS_16742.g1478","Ubiquitin-activating enzyme repeat"
"IPR000127","EfaB_PLUS_24701.g2013","Ubiquitin-activating enzyme repeat"
"IPR000127","EfaB_MINUS_24701.g2106","Ubiquitin-activating enzyme repeat"
"IPR000127","EfaB_PLUS_12281.g1051","Ubiquitin-activating enzyme repeat"
"IPR000131","EfaB_PLUS_34010.g2448","ATPase, F1 complex, gamma subunit"
"IPR000133","EfaB_MINUS_7742.g773","ER lumen protein retaining receptor"
"IPR000133","EfaB_MINUS_16835.g1487","ER lumen protein retaining receptor"
"IPR000133","EfaB_PLUS_13222.g1125","ER lumen protein retaining receptor"
"IPR000146","EfaB_PLUS_228.g20","Fructose-1,6-bisphosphatase class 1/Sedoheputulose-1,7-bisphosphatase"
