Mouse Gene Identifier,Mouse Gene Product Description,Plasmodium Gene Indentifier,Plasmodium Gene Product Description,Interaction Type
ENSMUSG00000001674,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 [Source:MGI Symbol;Acc:MGI:1914192],PBANKA_010120,"elongation factor G, putative",CSS
ENSMUSG00000005045,chromodomain helicase DNA binding protein 5 [Source:MGI Symbol;Acc:MGI:3036258],PBANKA_010120,"elongation factor G, putative",CSS
ENSMUSG00000020752,RecQ protein-like 5 [Source:MGI Symbol;Acc:MGI:2156841],PBANKA_010120,"elongation factor G, putative",CSS
ENSMUSG00000021494,DEAD (Asp-Glu-Ala-Asp) box polypeptide 41 [Source:MGI Symbol;Acc:MGI:1920185],PBANKA_010120,"elongation factor G, putative",CSS
ENSMUSG00000033762,RecQ protein-like 4 [Source:MGI Symbol;Acc:MGI:1931028],PBANKA_010120,"elongation factor G, putative",CSS
ENSMUSG00000042426,DEAH (Asp-Glu-Ala-His) box polypeptide 29 [Source:MGI Symbol;Acc:MGI:2145374],PBANKA_010120,"elongation factor G, putative",CSS
ENSMUSG00000055884,"Fanconi anemia, complementation group M [Source:MGI Symbol;Acc:MGI:2442306]",PBANKA_010120,"elongation factor G, putative",CSS
ENSMUSG00000014355,anaphase promoting complex subunit 1 [Source:MGI Symbol;Acc:MGI:103097],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000019428,FK506 binding protein 8 [Source:MGI Symbol;Acc:MGI:1341070],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000019916,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:97463]",PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000022136,"DnaJ (Hsp40) homolog, subfamily C, member 3 [Source:MGI Symbol;Acc:MGI:107373]",PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000022752,translocase of outer mitochondrial membrane 70 homolog A (yeast) [Source:MGI Symbol;Acc:MGI:106295],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000026229,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]",PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000027194,tetratricopeptide repeat domain 17 [Source:MGI Symbol;Acc:MGI:1921819],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000027677,tetratricopeptide repeat domain 14 [Source:MGI Symbol;Acc:MGI:1914370],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000028555,tetratricopeptide repeat domain 39A [Source:MGI Symbol;Acc:MGI:2444350],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000030306,transmembrane and tetratricopeptide repeat containing 1 [Source:MGI Symbol;Acc:MGI:3039590],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000036019,transmembrane and tetratricopeptide repeat containing 2 [Source:MGI Symbol;Acc:MGI:1914057],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000036676,transmembrane and tetratricopeptide repeat containing 3 [Source:MGI Symbol;Acc:MGI:3036255],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000037300,tetratricopeptide repeat domain 13 [Source:MGI Symbol;Acc:MGI:2384573],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000037369,4lysine (K)-specific demethylase 6A [Source:MGI Symbol;Acc:MGI:1095419],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000038168,leprecan-like 1 [Source:MGI Symbol;Acc:MGI:2146663],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000040785,tetratricopeptide repeat domain 3 [Source:MGI Symbol;Acc:MGI:1276539],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000041594,transmembrane and tetratricopeptide repeat containing 4 [Source:MGI Symbol;Acc:MGI:1921050],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000051048,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide III [Source:MGI Symbol;Acc:MGI:2444049]",PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000053334,FIC domain containing [Source:MGI Symbol;Acc:MGI:1098550],PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000053580,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 [Source:MGI Symbol;Acc:MGI:2444121]",PBANKA_010200,"bcs1-like protein, putative",CSS
ENSMUSG00000002767,mitochondrial ribosomal protein L2 [Source:MGI Symbol;Acc:MGI:1351622],PBANKA_011170,"apicoplast ribosomal protein L18 precursor, putative",CSS
ENSMUSG00000008429,HERPUD family member 2 [Source:MGI Symbol;Acc:MGI:1915393],PBANKA_011170,"apicoplast ribosomal protein L18 precursor, putative",CSS
